complaint_id,customer_id,date,transcript,main_concerns,is_repeating_issue,was_issue_resolved,sentiment
SPRT_18,CUST_4,18/08/2023,"Hi, I'm calling because I was charged a $35 late fee on my credit card payment, even though I scheduled it online well before the due date.  I have proof of the scheduled payment on my online banking portal, confirmation number is XYZ123. I'd like this fee reversed immediately, please. It’s unacceptable that your system has this kind of error, especially impacting clients invested in online functionality.","Billing issue, Late Fee",False,True,-0.6
SPRT_19,CUST_4,15/01/2024,"I'm extremely frustrated. I've been trying to access information about your high-yield investment accounts and margin loan rates, suitable for someone with my risk profile, for the past hour. The website is incredibly slow and keeps timing out, the mobile sections is even worst, it simply crashes. I also tried calling, and the automated system is a nightmare to navigate. As a Financial Analyst I consider my time is literally money, you are losing me money!. This is not the kind of service I thought was suitable for my investor level.","Technical support, Website/App Issue, Investment Information",True,False,-0.9
SPRT_20,CUST_4,29/03/2024,"I tried to transfer a significant amount to my external brokerage account, bigger that 10000, and the transaction was flagged and declined. I understand the need for security, however, I received no notification—no call, no email, no text—about this. I only found out when I checked my account this morning. I need this funds available today. I want the security measure reviewed, and in the future, proper notifications are required. I requested clear instructions what are the next steps, send them via email.","Transaction Issue, Account Security, Lack of Communication",False,True,-0.4
SPRT_21,CUST_5,18/08/2023,"I was double-charged for a grocery purchase at Kroger on August 12th.  I see two identical transactions for $152.38.  My account balance is lower than it should be. I need one of these transactions reversed immediately. This is extremely frustrating, and I need to know how this happened and how you're going to prevent it in the future. I checked my online banking and the duplicate transaction is still there.",Billing issue,False,False,-0.8
SPRT_22,CUST_5,02/11/2023,"I'm calling to inquire about education savings accounts for my two children. I'm looking for options that offer good interest rates and are easy to manage. What kind of accounts, what would I need to open the accounts for each of my child? Could you explain different plans?",Product inquiry,False,True,0.6
SPRT_23,CUST_5,21/01/2024,"My debit card isn't working at the gas pump. I tried it at two different stations, and it keeps getting declined, even though I have plenty of money in my account. I need to use my card; this is a real inconvenience as i use it for most transactions. Is there a problem with my card, or is it a system-wide issue?",Card issue,False,True,-0.5
SPRT_24,CUST_5,15/03/2024,I received a notification about a suspicious transaction on my account. I checked it and it wasn't done by me. I want to dispute this purchase immediately and ensure my account is secure. The transaction was for that was for an online retailer I've never used. Should I be worried now? Can you check it and cancel it?,Fraud alert,False,True,-0.9
SPRT_25,CUST_5,02/04/2024,"I am trying to log into my mobile banking app, and it keeps saying my password is incorrect. I'm sure I'm entering it correctly. I tried the 'forgot password' option, but I haven't received the reset email yet. I need to access my account urgently to pay a bill.",Technical support,True,False,-0.7
SPRT_26,CUST_5,10/05/2024,"I'm calling to ask about the monthly maintenance fees on my checking account. I've been a customer for a while, and my balance has consistently been above $15,000. Are there any options for waiving these fees given my balance and customer loyalty? Are other fees applicable that I am not aware about?",Fee inquiry,False,True,0.2
SPRT_27,CUST_5,25/06/2024,I noticed an ATM withdrawal fee on my last statement that I don't understand. I thought your bank offered free ATM withdrawals within your network. The ATM I used had your bank's logo on it. Could you please explain this charge and why it was applied to my account?,Billing issue,True,False,-0.4
SPRT_28,CUST_5,03/07/2024,I am calling to check my account balance. I do not have internet and was not able to check it myself. Can you please check it out for my and tell my the most recent 3 transactions?,Account inquiry,False,True,0.1
SPRT_29,CUST_6,18/08/2023,"Hi, I'm calling because I was charged an overdraft fee, but I don't understand why. My balance has been low, but I've been careful with my spending, mostly on tuition, books, and food. I use my debit card for everything. I checked my account online, and it showed a positive balance *before* the transaction that supposedly overdrafted me. It's only a $35 fee, but as a student with, like, zero income. Every dollar makes a difference, also considering all my loans. This is only the second Issue I've ever had to call in for. Can you help me understand, and possibly reverse the fee, please?",Overdraft Fee Dispute,False,False,-0.7
