transaction_id,org_id,date,platform,payment_method,amount,location,expense_category,expense_sub_category,vendor,transaction_type
TXN_45,ORG_3,18/07/2023,ERP System,Wire Transfer,1500000.0,Texas,Raw Materials,Steel Sheets,Texas Steelworks Inc.,Payment
TXN_46,ORG_3,22/07/2023,Online,ACH,1200000.0,Texas,Salaries,Salaries,ADP,Payment
TXN_47,ORG_3,29/07/2023,Bank Transfer,Wire Transfer,250000.0,Texas,Logistics,Freight Shipping,Swift Logistics,Payment
TXN_48,ORG_3,05/08/2023,Online,ACH,1200000.0,Texas,Salaries,Salaries,ADP,Payment
TXN_49,ORG_3,10/08/2023,Vendor Portal,Wire Transfer,100000.0,Texas,Equipment,CNC Machine Maintenance,Precision Machines Co.,Payment
TXN_50,ORG_3,12/08/2023,Bank Transfer,Wire Transfer,180000.0,Texas,Energy,Electricity Bill,Reliant Energy,Payment
TXN_51,ORG_3,19/08/2023,Bank Transfer,Wire Transfer,1450000.0,Texas,Raw Materials,Aluminium Ingots,Aluminium Suppliers Co.,Payment
TXN_52,ORG_3,22/08/2023,ERP System,Wire Transfer,570000.0,Texas,Raw Materials,Plastic Resins,Polymer Solutions,Payment
TXN_53,ORG_3,28/08/2023,Online,Wire Transfer,200000.0,Texas,Loan,Loan Repayment,Enterprise Bank,Loan
TXN_54,ORG_3,18/07/2023,ERP System,Wire Transfer,1500000.0,Texas,Raw Materials,Steel,Texas Steelworks Inc.,Payment
TXN_55,ORG_3,20/07/2023,Online,ACH,1250000.0,Texas,Salaries,Salaries,ADP,Payment
TXN_56,ORG_3,28/07/2023,Bank Transfer,Wire Transfer,250000.0,Texas,Equipment,Maintenance,Industrial Repair Services,Payment
TXN_57,ORG_3,05/08/2023,Vendor Portal,ACH,500000.0,Texas,Logistics,Freight,National Freight Services,Payment
TXN_58,ORG_3,10/08/2023,Online,Direct Deposit,1500000.0,Texas,Salaries,Salaries,ADP,Payment
TXN_59,ORG_3,12/08/2023,Online,Wire Transfer,100000.0,Texas,Energy,Electricity,TXU Energy,Payment
TXN_60,ORG_3,25/08/2023,Bank Transfer,Wire Transfer,600000.0,Texas,Raw Materials,Polymers,Polymer Supply Co.,Payment
TXN_61,ORG_3,12/09/2023,ERP System,Wire Transfer,750000.0,Remote,Raw Materials,Alloys,Global Alloy Distribution,Payment
TXN_62,ORG_3,15/09/2023,Online,Direct Deposit,1500000.0,Texas,Salaries,Salaries,ADP,Payment
TXN_63,ORG_3,19/09/2023,Online,Wire Transfer,100000.0,Texas,Energy,Electricity,TXU Energy,Payment
TXN_64,ORG_3,23/09/2023,Vendor Portal,ACH,1500000.0,Texas,Equipment,Robotics Arm,Robotics Automation Inc,Payment
TXN_65,ORG_3,28/09/2023,Bank Transfer,Wire Transfer,2800000.0,Texas,Raw Materials,Copper,Copper Mining Texas,Payment
TXN_66,ORG_3,02/10/2023,Online,Direct Deposit,1500000.0,Texas,Salaries,Salaries,ADP,Payment
TXN_67,ORG_3,10/10/2023,Online,Wire Transfer,100000.0,Texas,Energy,Electricity,TXU Energy,Payment
TXN_68,ORG_3,16/10/2023,Vendor Portal,ACH,550000.0,Texas,Logistics,Transportation,Fast Delivery Corp,Payment
TXN_69,ORG_3,28/10/2023,Bank Transfer,Wire Transfer,2750000.0,Texas,Raw Materials,Aluminum,Alcoa Corp,Payment
TXN_70,ORG_4,18/08/2023,Online,Credit Card,3500.0,New York,Inventory,Fall Collection Stock,NY Apparel Distributors,Payment
TXN_71,ORG_4,22/08/2023,Bank Transfer,ACH,2500.0,New York,Rent,Store Lease,Manhattan Realty,Payment
TXN_72,ORG_4,25/08/2023,Vendor Portal,Credit Card,1000.0,Remote,Marketing,Digital Ads,Google,Payment
TXN_73,ORG_4,30/08/2023,Online,Direct Deposit,6000.0,New York,Salaries,Employee Wages,ADP,Payment
TXN_74,ORG_4,05/09/2023,Online,ACH,650.0,New York,Utilities,Electricity,Con Edison,Payment
TXN_75,ORG_4,08/09/2023,Online,Credit Card,850.0,Remote,Marketing,Social Media Management,Hootsuite,Payment
TXN_76,ORG_4,12/09/2023,Vendor Portal,Credit Card,14500.0,New York,Deposit,Sales Revenue,Various Customers,Deposit
TXN_77,ORG_4,18/07/2023,Online,Credit Card,3500.0,New York,Inventory,Goods Purchase,NY Wholesale Distributors,Payment
TXN_78,ORG_4,22/07/2023,Bank Transfer,ACH,2000.0,New York,Rent,Office Space,Manhattan Realty,Payment
TXN_79,ORG_4,29/07/2023,Online,Credit Card,1500.0,Remote,Marketing,Digital Ads,Google,Payment
TXN_80,ORG_4,05/08/2023,ERP System,Direct Deposit,6000.0,New York,Salaries,Employee Wages,ADP,Payment
TXN_81,ORG_4,12/08/2023,Online,Credit Card,500.0,New York,Utilities,Electricity,Con Edison,Payment
TXN_82,ORG_4,15/08/2023,Online,Credit Card,750.0,Remote,Marketing,Social Media Management,Hootsuite,Payment
TXN_83,ORG_4,19/08/2023,Online,Credit Card,250.0,New York,Utilities,Internet,Verizon,Payment
TXN_84,ORG_4,18/07/2023,Online,Credit Card,3500.0,New York,Inventory,Clothing Stock,Fashion Wholesalers Inc.,Payment
TXN_85,ORG_4,20/07/2023,Bank Transfer,ACH,2500.0,New York,Rent,Store Rent,NY Real Estate Corp,Payment
TXN_86,ORG_4,25/07/2023,Online,Credit Card,1500.0,Remote,Marketing,Digital Ads,Google,Payment
TXN_87,ORG_4,28/07/2023,Bank Transfer,Direct Deposit,4500.0,New York,Salaries,Employee Wages,ADP,Payment
TXN_88,ORG_4,02/08/2023,Online,Credit Card,500.0,New York,Utilities,Electricity,Con Edison,Payment
TXN_89,ORG_4,15/08/2023,Online,Credit Card,4000.0,New York,Inventory,Accessories Stock,Accessory Imports Ltd.,Payment
TXN_90,ORG_4,17/08/2023,Online,Credit Card,2000.0,Remote,Marketing,Social Media Ads,Facebook,Payment
TXN_91,ORG_4,19/08/2023,Online,Credit Card,600.0,New York,Utilities,Internet,Verizon,Payment
TXN_92,ORG_4,25/08/2023,Bank Transfer,Direct Deposit,5200.0,New York,Salaries,Employee Wages,ADP,Payment
TXN_93,ORG_4,28/08/2023,Bank Transfer,ACH,2700.0,New York,Rent,Store Rent,NY Real Estate Corp,Payment
TXN_94,ORG_5,15/07/2023,ERP System,ACH,75000.0,Illinois,Salaries,Salaries,ADP,Payment
TXN_95,ORG_5,20/07/2023,Online,ACH,12000.0,Remote,Software,Financial Planning Software,Envestnet,Payment
TXN_96,ORG_5,22/07/2023,Bank Transfer,ACH,5500.0,Illinois,Compliance,Audit Fees,Deloitte,Payment
TXN_97,ORG_5,28/07/2023,Online,ACH,15000.0,Illinois,Office Rent,Office Space,CBRE,Payment
TXN_98,ORG_5,05/08/2023,Vendor Portal,ACH,4000.0,Remote,Client Services,Client Meeting Expenses,Zoom,Payment
TXN_99,ORG_5,15/08/2023,ERP System,ACH,75500.0,Illinois,Salaries,Salaries,ADP,Payment
TXN_100,ORG_5,01/08/2023,Online,Check,8000.0,Illinois,Office Rent,Utilities,ComEd,Payment
TXN_101,ORG_5,01/09/2023,Bank Transfer,ACH,4166.67,Illinois,Loan,Loan Payment,Bank of America,Loan
TXN_102,ORG_5,15/09/2023,ERP System,ACH,76000.0,Illinois,Salaries,Salaries,ADP,Payment
TXN_103,ORG_5,20/09/2023,Online,ACH,10000.0,Illinois,Compliance,Annual Report,KPMG,Payment
TXN_104,ORG_5,15/07/2023,Online,ACH,75000.0,Illinois,Salaries,Salaries,ADP,Payment
TXN_105,ORG_5,18/07/2023,Bank Transfer,ACH,12000.0,Illinois,Office Rent,Office Space,Regus,Payment
TXN_106,ORG_5,22/07/2023,Online,ACH,60000.0,Remote,Client Services,Consulting Fees,External Consultants,Payment
TXN_107,ORG_5,25/07/2023,Vendor Portal,ACH,25000.0,Remote,Software,Financial Planning Software,eMoney Advisor,Payment
TXN_108,ORG_5,28/07/2023,Online,ACH,10000.0,Remote,Compliance,Regulatory Fees,FINRA,Payment
TXN_109,ORG_5,02/08/2023,Bank Transfer,Wire Transfer,7000.0,Illinois,Software,CRM Software,Salesforce,Payment
TXN_110,ORG_5,05/08/2023,Online,ACH,4500.0,Illinois,Client Services,Client Reporting Tools,SS&C Technologies,Payment
TXN_111,ORG_5,05/08/2023,ERP System,ACH,76500.0,Illinois,Salaries,Salaries,ADP,Payment
TXN_112,ORG_5,08/08/2023,Bank Transfer,Check,12000.0,Illinois,Office Rent,Office Space,Regus,Payment
TXN_113,ORG_5,10/08/2023,Online,ACH,10000.0,Remote,Compliance,Audit Fees,Deloitte,Payment
TXN_114,ORG_5,14/08/2023,Vendor Portal,ACH,2000.0,Remote,Software,Office Suite,Microsoft,Payment
TXN_115,ORG_5,02/08/2023,Online,Credit Card,98000.0,Remote,Client Services,Deposits return,Multiple Clients,Payment
